Population,Std_A1,Std_A2,Std_A3,Std_A4,Std_A5,Std_A6,Mean_A1,Mean_A2,Mean_A3,Mean_A4,Mean_A5,Mean_A6,meanAbDev_A1,meanAbDev_A2,meanAbDev_A3,meanAbDev_A4,meanAbDev_A5,meanAbDev_A6,meadAbDev_A1,meadAbDev_A2,meadAbDev_A3,meadAbDev_A4,meadAbDev_A5,meadAbDev_A6,mead_A1,mead_A2,mead_A3,mead_A4,mead_A5,mead_A6,var_A1,var_A2,var_A3,var_A4,var_A5,var_A6
Five,0.2685799367,0.7359621312,1.0955274655,1.4152075864,1.4117745094,1.1277299816,3.0020168494,8.2428023752,12.33628237,15.9815462778,15.9336499682,12.7404417215,0.1838526953,0.4978244061,0.7158120288,0.8969838429,0.8904212428,0.7123954456,0.0558954673,0.160916374,0.2379203203,0.2332892186,0.2024829719,0.1594934241,3.0147046519,8.2514072187,12.3367517467,15.9887811953,15.9017225207,12.6851926201,0.0721351824,0.5416402586,1.2001804277,2.0028125127,1.9931072653,1.2717749115
Five,0.2448550582,0.6747293229,1.0123487459,1.3186537477,1.3207374789,1.0531609375,2.9597087321,8.1758673466,12.3420043385,16.123724597,16.1684223993,12.9561399864,0.176467296,0.4842153324,0.7228173155,0.9355388584,0.935691395,0.7542693264,0.0467883223,0.1357456292,0.1671045291,0.1563410749,0.1315090441,0.1663081002,2.8829891155,7.9649234956,12.0309269149,15.6985266632,15.7400176733,12.6245954706,0.0599539995,0.4552596591,1.0248499834,1.7388477064,1.744347488,1.1091479603
Five,0.274532309,0.7663001812,1.0376311175,1.2379872587,1.2229327883,0.9790103865,2.9434714328,8.1269937601,12.2101836679,15.9217757082,16.0245086141,12.8895814579,0.2035761746,0.5683519443,0.751990181,0.8991722393,0.8842530441,0.6945502643,0.127158775,0.3709145925,0.4686010573,0.4110782993,0.3993893308,0.2798517237,2.9033095777,8.0399907683,11.9632359975,15.5217409725,15.6617402584,12.5791471901,0.0753679887,0.5872159678,1.076678336,1.5326124528,1.4955646046,0.9584613368
Five,0.2290775977,0.6287688907,0.8719633414,1.0862731428,1.0804481146,0.8505313792,2.9193544759,8.0939862903,12.2032626503,15.905190002,15.962132768,12.7906769536,0.1722010783,0.4710281545,0.6171963454,0.7192330537,0.7050722102,0.5430595597,0.1521273244,0.4218337177,0.458263852,0.4181694442,0.3808199178,0.2652404058,2.9126654959,8.065665128,12.1058772948,15.7771257345,15.8327801173,12.663451643,0.0524765458,0.3953503179,0.7603200687,1.1799893408,1.1673681283,0.7234036271
Six,0.2404801126,0.6523152308,1.0100894964,1.3729578719,1.3844544182,1.0965004347,2.6200684812,7.1564534542,11.2990397171,15.5561926871,15.7717946805,12.5963068571,0.1774621112,0.4875194405,0.7601220784,1.0304379795,1.0395849285,0.8230537394,0.0586912966,0.148644196,0.220775992,0.2272051459,0.1544213728,0.1214604243,2.537699003,6.9308202441,10.9319490256,14.9702486809,15.1309345223,12.1089352391,0.0578306846,0.4255151604,1.0202807908,1.885013318,1.916714036,1.2023132033
Six,0.2466855892,0.6880456621,1.0294081566,1.3441779481,1.3566889884,1.1033107453,2.5352868215,6.9270229034,10.9745689371,15.1292391395,15.3328206297,12.2798481899,0.1894817347,0.5313963161,0.771695933,0.9717304632,0.9790717475,0.8098974898,0.1483708683,0.425549599,0.423861675,0.4691441917,0.5238990946,0.3662386588,2.5635443806,7.003994244,11.0732439084,15.1943292037,15.3579178118,12.3417438714,0.0608537799,0.4734068332,1.0596811529,1.8068143562,1.8406050113,1.2172946008
Six,0.2555955025,0.6933117246,1.0470570046,1.3798358707,1.3763711154,1.0950007781,2.748974156,7.5213575305,11.6574257708,15.6325752135,15.671694862,12.5355089027,0.2077166815,0.5650686985,0.8602472344,1.1319302249,1.1226608026,0.8919242572,0.1430953107,0.3989015318,0.5002845742,0.593550453,0.4869531554,0.396476279,2.6708017212,7.266334311,11.1641745826,14.9349335966,14.8959251629,11.9049998697,0.0653290609,0.4806811474,1.0963283709,1.90394703,1.8943974473,1.1990267041
Six,0.1955321381,0.5328283715,0.8185359121,1.0822774271,1.0742297697,0.8544042723,2.7392913106,7.5004495075,11.6422681667,15.6121301095,15.6717952498,12.5828146723,0.1366664329,0.3733200756,0.5695680829,0.7431881202,0.7268028187,0.5679594917,0.0288645671,0.0477758192,0.0697783281,0.0836316753,0.0823530111,0.0960121817,2.672564799,7.3033136726,11.3319109113,15.2177769224,15.2900535143,12.2932921189,0.038232817,0.2839060735,0.6700010394,1.1713244293,1.1539695982,0.7300066606
Six,0.1683902081,0.4579183903,0.7077978726,0.9578128684,0.9748151521,0.7915383926,2.6973634425,7.4064613947,11.4996693157,15.5208704213,15.7408317443,12.7699552674,0.1096259896,0.2993302858,0.463693237,0.6322004802,0.6460471594,0.5226436809,0.0271180015,0.0592612393,0.0694976801,0.0652057794,0.0812332693,0.1093857047,2.650220656,7.263161012,11.2707499654,15.2298839481,15.4526431484,12.5545512348,0.0283552622,0.2096892522,0.5009778285,0.917405491,0.9502645808,0.6265330269
Seven,0.3296673133,0.909760599,1.3341537624,1.6865543195,1.685773589,1.3853044236,3.3916653841,9.3760332031,13.666669987,17.0386977158,16.9380291133,13.9778579452,0.2903015858,0.797585567,1.1630474346,1.4634409229,1.4591717783,1.2021705155,0.3151837688,0.9737814973,1.4370681425,1.7181243129,1.6388343858,1.4007171956,3.4207932513,9.5502831715,13.9413844871,17.3308216666,17.1842453763,14.2001847289,0.1086805374,0.8276643475,1.7799662617,2.8444654727,2.8418325935,1.919068346
Seven,0.3118822146,0.8613346936,1.2596451834,1.5899569852,1.5883302669,1.3040066558,3.3232825389,9.1477957081,13.3908765401,16.8790533847,16.856247247,13.893369337,0.276213331,0.763316788,1.1160602627,1.4085899847,1.4077084068,1.1562090007,0.0334543021,0.0708280279,0.0872042288,0.0987690475,0.1035914532,0.0990022375,3.1104700725,8.5450812517,12.5067737882,15.7576258218,15.7322120545,12.9765111651,0.0972705158,0.7418974544,1.586705988,2.5279632147,2.5227930367,1.7004333584
Seven,0.267882264,0.7379686635,1.071971742,1.3206518123,1.3067271014,1.0875084364,3.432037338,9.442873929,13.7792190382,17.2576559393,17.2016321719,14.235541178,0.2263757885,0.6247639242,0.9077047866,1.1159809447,1.1021116739,0.9170478558,0.0374680025,0.06386465,0.0838365603,0.1046786269,0.1378892947,0.0931315207,3.5345785403,9.7379808194,14.207305828,17.7854834275,17.7052792315,14.6596678778,0.0717609074,0.5445977483,1.1491234156,1.7441212094,1.7075357174,1.1826745993
Seven,0.2240309574,0.60541945,0.8741373276,1.0896514009,1.0862303037,0.9102967052,3.6089280071,9.872052904,14.3055366382,17.8192656833,17.7808308641,14.8524094073,0.1389251063,0.3653301141,0.5280601316,0.6588801185,0.6586685728,0.5533275745,0.0373007297,0.0579668867,0.0591636254,0.088036788,0.0933140514,0.1086334301,3.5830972621,9.8022248522,14.1970139944,17.6790787614,17.6431301057,14.7497239814,0.0501898699,0.3665327104,0.7641160674,1.1873401755,1.1798962728,0.8286400915
Seven,0.2267125533,0.6168913183,0.8842190314,1.1043134731,1.1037733572,0.9157468538,3.6803546959,10.0240499892,14.4097509235,17.8401210709,17.7158317627,14.6950101341,0.1403192794,0.3783387897,0.5304783699,0.6571129735,0.6640915134,0.5703824308,0.035828513,0.090592541,0.0777400054,0.0500005048,0.0953950263,0.1258540188,3.6625190251,9.9698551722,14.3278213778,17.7150684315,17.5953352277,14.5646745795,0.0513985818,0.3805548986,0.7818432954,1.2195082468,1.218315624,0.8385923002
Empty,0.9511523551,1.9636989127,2.0154260853,2.5329402279,3.501600549,4.2092504873,10.3894400827,21.3990365212,21.9317089581,27.6539257992,38.310104833,46.060151167,0.8574798062,1.7688064806,1.8144557629,2.2841900056,3.1600933388,3.7999836747,0.2531745094,0.6150395681,0.6779852766,0.6062207368,0.5327377615,0.403733802,11.0840668903,22.810136865,23.3678421786,29.5560867303,41.0321049273,49.4538628817,0.9046908026,3.8561134198,4.0619423055,6.415786198,12.261206405,17.7177896648
